,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-06-16 00:00:00-04:00,351.46,353.2,344.72,352.26,36742302,2620.0,2620.0,2576.0,2615.13,3175918,279945.0,279945.0,270000.0,273659.0,926,192.89,195.58,191.46,193.67,34909883
2020-06-17 00:00:00-04:00,355.15,355.4,351.09,351.2438,50065784,2647.5,2655.0,2631.82,2641.72,5090473,274849.0,274849.0,270870.06,271300.03,613,195.03,196.32,193.69,194.2,21175962
2020-06-18 00:00:00-04:00,351.41,353.45,349.22,351.59,21375772,2647.01,2659.64,2636.11,2655.0,2114206,270500.0,272100.0,269300.0,271660.0,561,194.0,196.49,194.0,196.32,37860859
2020-06-19 00:00:00-04:00,354.635,356.56,345.15,349.55,90845598,2678.08,2697.43,2659.0,2671.86,8507797,274160.0,274429.0,268807.25,270405.0,574,198.59,199.29,194.37,195.03,69471150
2020-06-22 00:00:00-04:00,351.34,359.46,351.15,358.93,30845663,2684.5,2713.98,2669.0,2712.0,2754781,269047.25,271200.0,268200.0,271059.0,622,195.79,200.76,195.2301,200.58,26980577
2020-06-23 00:00:00-04:00,364.0,372.37,362.2701,366.37,50255788,2726.02,2783.11,2718.04,2764.42,3945888,272750.0,273789.84,271115.0,272350.0,638,202.09,203.95,201.425,201.889,27611231
2020-06-24 00:00:00-04:00,365.0,368.79,358.52,360.06,44983139,2780.0,2796.0,2721.0,2733.49,4148702,269800.0,269800.0,266200.0,266340.0,734,201.6043,203.25,196.56,197.84,30960564
2020-06-25 00:00:00-04:00,360.7,365.0,357.57,364.88,32015338,2739.55,2756.23,2712.14,2756.16,2695963,265000.0,269678.28,264611.06,268236.0,364,197.8,200.61,195.4675,200.36,23934120
2020-06-26 00:00:00-04:00,364.41,365.32,353.02,353.69,40859277,2775.056,2782.5688,2688.0,2692.87,5446380,267500.0,268108.6,262700.0,263754.5,718,199.73,199.89,194.88,196.33,37651876
2020-06-29 00:00:00-04:00,353.25,362.1736,351.28,362.0,29154717,2690.01,2696.8,2630.08,2681.52,3895727,264320.0,265802.75,263600.0,265395.0,393,195.78,198.53,193.55,198.5,22635986
2020-06-30 00:00:00-04:00,360.08,365.98,360.0,364.6,28884259,2685.065,2769.63,2675.03,2756.09,3188724,265400.0,268600.0,265067.25,267770.0,490,197.8816,204.4,197.74,203.5,26157887
2020-07-01 00:00:00-04:00,365.12,367.36,363.91,364.01,25429807,2757.99,2895.0,2754.0,2879.2,6112148,267600.0,270500.0,266356.6,266910.0,390,203.14,206.35,201.77,204.66,26758698
2020-07-02 00:00:00-04:00,367.85,370.47,363.65,364.12,25332853,2912.01,2955.56,2871.102,2887.56,6173373,270800.0,271500.0,267420.0,268170.0,449,205.68,208.02,205.0,206.21,25117323
2020-07-06 00:00:00-04:00,370.0,375.78,369.87,373.81,26084791,2934.97,3059.88,2930.0,3057.16,6493685,274180.0,275080.0,272600.0,274050.0,563,208.8335,211.13,208.09,210.69,26520093
2020-07-07 00:00:00-04:00,375.41,378.62,372.23,372.64,24610596,3058.55,3069.55,2990.0,3000.12,4875944,272830.0,273870.0,271057.25,271447.25,415,210.45,214.67,207.99,208.24,28760244
2020-07-08 00:00:00-04:00,376.72,381.5,376.36,381.44,26025692,3022.61,3083.97,3012.4302,3081.88,4687637,271000.0,273663.7,270075.9,272169.5,273,210.07,213.26,208.69,212.84,28227213
2020-07-09 00:00:00-04:00,385.05,393.91,378.69,382.6599,29212120,3115.99,3193.88,3074.0017,3183.81,6101864,271770.0,272220.0,267307.0,268947.0,414,216.33,216.38,211.47,214.4,29002968
2020-07-10 00:00:00-04:00,381.34,383.92,378.8207,383.52,20333748,3191.76,3215.0,3135.7,3203.36,5135404,268237.5,274450.0,268000.0,274400.0,323,213.62,214.08,211.08,213.65,23260516
2020-07-13 00:00:00-04:00,389.06,399.82,381.03,381.91,43528308,3251.06,3344.29,3068.3901,3101.55,7304358,275540.0,278640.0,275100.0,276268.0,496,214.48,215.8,206.5,207.1,33360005
2020-07-14 00:00:00-04:00,379.36,389.02,375.51,388.21,37043531,3089.0,3127.38,2950.0,3084.02,6842135,274000.0,285000.0,274000.0,285000.0,448,206.13,208.85,202.03,208.39,33022403
2020-07-15 00:00:00-04:00,395.96,396.99,385.96,390.91,35722109,3080.23,3098.35,2973.1802,3008.87,5493280,289500.0,289730.0,283620.0,285990.0,451,209.56,211.33,205.03,208.05,28638402
