time,BA,DAL,MGM,WYNN
2020-11-05 00:00:00-05:00,157.09,31.96,21.84,80.175
2020-11-06 00:00:00-05:00,157.755,31.43,22.0297,80.05
2020-11-09 00:00:00-05:00,179.36,36.77,25.31,102.34
2020-11-10 00:00:00-05:00,188.74,37.02,24.79,96.73
2020-11-11 00:00:00-05:00,182.32,35.03,23.99,91.66
2020-11-12 00:00:00-05:00,176.77,34.3801,23.69,86.64
2020-11-13 00:00:00-05:00,185.7871,36.52,25.6417,92.22
2020-11-16 00:00:00-05:00,202.4,38.01,26.52,94.75
2020-11-17 00:00:00-05:00,210.02,37.61,26.42,94.3
2020-11-18 00:00:00-05:00,203.2,37.9,26.91,95.66
2020-11-19 00:00:00-05:00,205.56,37.92,27.22,98.75
2020-11-20 00:00:00-05:00,199.62,37.14,26.21,95.31
2020-11-23 00:00:00-05:00,211.38,38.78,26.16,95.48
2020-11-24 00:00:00-05:00,218.38,41.27,28.45,102.77
2020-11-25 00:00:00-05:00,217.56,41.31,28.4,100.4
2020-11-27 00:00:00-05:00,216.5001,41.0499,28.63,101.13
2020-11-30 00:00:00-05:00,210.98,40.24,28.25,100.61
2020-12-01 00:00:00-05:00,213.14,39.96,28.81,102.3599
2020-12-02 00:00:00-05:00,223.84,41.08,29.33,105.09
2020-12-03 00:00:00-05:00,237.35,42.96,29.92,108.52
2020-12-04 00:00:00-05:00,232.58,42.36,30.72,113.51
2020-12-07 00:00:00-05:00,238.03,42.36,29.82,111.33
2020-12-08 00:00:00-05:00,236.47,42.41,29.89,111.31
2020-12-09 00:00:00-05:00,231.77,42.1,29.93,111.17
2020-12-10 00:00:00-05:00,234.39,42.61,30.92,112.83
2020-12-11 00:00:00-05:00,230.33,41.74,30.19,111.0
2020-12-14 00:00:00-05:00,228.63,40.7,29.51,107.51
2020-12-15 00:00:00-05:00,229.5,41.84,30.75,114.03
2020-12-16 00:00:00-05:00,225.84,41.08,30.99,115.28
2020-12-17 00:00:00-05:00,221.26,41.11,31.1316,114.81
2020-12-18 00:00:00-05:00,220.1,40.66,31.65,115.94
2020-12-21 00:00:00-05:00,219.285,40.14,30.49,112.48
2020-12-22 00:00:00-05:00,218.82,38.93,30.35,112.62
2020-12-23 00:00:00-05:00,219.56,40.23,30.98,115.29
2020-12-24 00:00:00-05:00,217.13,39.73,30.73,114.33
2020-12-28 00:00:00-05:00,216.09,40.14,31.31,115.48
2020-12-29 00:00:00-05:00,216.185,40.04,30.77,114.31
2020-12-30 00:00:00-05:00,216.5983,40.56,31.21,113.41
2020-12-31 00:00:00-05:00,214.01,40.19,31.49,112.8
2021-01-04 00:00:00-05:00,202.91,38.73,29.7,106.9
2021-01-05 00:00:00-05:00,211.71,39.56,30.37,110.16
