Date,SP500,Nasdaq,BA,DAL,MGM,WYNN,Tesla,Gamestop,AAPL,AMZN,BRK.A,MSFT,BTC,ETH
2020-11-25,362.660004,12094.400391,217.56,41.31,28.4,100.4,574.0,14.75,116.02,3184.82,350045.1,213.75,18732.121094,570.686646
2020-11-27,363.670013,12205.849609,216.5001,41.0499,28.63,101.13,585.75,16.05,116.6,3195.95,347392.5,215.29,17108.402344,517.493713
2020-11-30,362.059998,12198.740234,210.98,40.24,28.25,100.61,566.48,16.5678,119.06,3168.03,343525.0,214.24,19625.835938,614.842529
2020-12-01,366.019989,12355.110352,213.14,39.96,28.81,102.3599,585.19,15.81,122.7,3220.08,344735.0,216.21,18802.998047,587.324158
2020-12-02,366.790009,12349.370117,223.84,41.08,29.33,105.09,568.8,16.59,123.08,3203.75,345929.0,215.42,19201.091797,598.352356
2020-12-03,366.690002,12377.179688,237.35,42.96,29.92,108.52,593.28,16.12,122.94,3188.66,346690.0,214.27,19445.398438,616.70874
2020-12-04,369.850006,12464.230469,232.58,42.36,30.72,113.51,599.0,16.91,122.24,3163.49,346930.0,214.4,18699.765625,569.354187
2020-12-07,369.089996,12519.950195,238.03,42.36,29.82,111.33,642.0,16.32,123.8,3158.77,343646.0,214.32,19191.630859,591.843384
2020-12-08,370.170013,12582.769531,236.47,42.41,29.89,111.31,649.88,16.92,124.33,3176.64,342310.0,215.99,18321.144531,554.827759
2020-12-09,366.850006,12338.950195,231.77,42.1,29.93,111.17,604.17,13.6576,121.67,3101.35,341385.6,211.41,18553.916016,573.479126
2020-12-10,366.730011,12405.80957,234.39,42.61,30.92,112.83,627.33,14.12,123.22,3100.07,341127.03,210.515,18264.992188,559.678528
2020-12-11,366.299988,12377.870117,230.33,41.74,30.19,111.0,610.0,13.31,122.49,3116.41,339700.0,213.27,18058.904297,545.797363
2020-12-14,364.660004,12440.040039,228.63,40.7,29.51,107.51,639.79,12.72,121.77,3156.97,334427.22,214.19,19246.644531,586.011169
2020-12-15,369.589996,12595.05957,229.5,41.84,30.75,114.03,632.48,13.87,127.89,3166.45,336540.0,214.16,19417.076172,589.355591
2020-12-16,370.170013,12658.19043,225.84,41.08,30.99,115.28,622.67,13.85,127.75,3240.96,334200.0,219.19,21310.597656,636.181824
2020-12-17,372.23999,12764.75,221.26,41.11,31.1316,114.81,655.725,14.83,128.65,3237.015,338800.0,219.42,22805.162109,642.868958
