,,BTC,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,ETH
,Date,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
200,10/3/2020,10583.80664,10614.0918,10527.97852,10565.49316,17094010304,346.502655,351.62793,344.886658,347.321594,8599594017
201,10/4/2020,10567.91992,10700.79102,10531.34277,10684.42871,17546792792,347.27243,354.253326,345.398712,353.121918,9308536486
202,10/5/2020,10688.03418,10804.00098,10646.44336,10804.00098,19385191766,353.045807,355.217896,350.197632,354.2771,9933790982
203,10/6/2020,10799.77832,10803.45606,10565.19727,10621.66406,22264958686,354.137787,355.504059,338.520233,341.021149,11497841885
204,10/7/2020,10619.80371,10687.26856,10591.96387,10679.13672,17634388529,341.091675,342.591248,335.5336,342.119781,10537119715
205,10/8/2020,10677.625,10939.79981,10569.82324,10923.62793,21962121001,342.094971,352.800385,336.497101,351.455658,11511016796
206,10/9/2020,,,,,,,,,,
207,10/10/2020,11059.14258,11442.21094,11056.94043,11296.36133,22877978588,365.402466,378.267151,365.354034,370.96759,13618484324
208,10/11/2020,11296.08203,11428.81348,11288.62793,11384.18164,19968627060,370.928436,377.246796,369.828033,375.142059,12584512533
209,10/12/2020,,,,,,,,,,
210,10/13/2020,,,,,,,,,,
211,10/14/2020,11429.04785,11539.97754,11307.83106,11429.50684,24103426719,381.971466,387.296173,374.175018,379.484039,13918846567
212,10/15/2020,11426.60254,11569.91406,11303.60352,11495.34961,24487233058,379.19223,381.208771,371.354126,377.441833,14964182545
213,10/16/2020,11502.82813,11540.06152,11223.0127,11322.12305,25635480772,377.8685,380.021515,362.597412,366.229004,14670784817
214,10/17/2020,11322.12305,11386.26172,11285.3457,11358.10156,19130430174,366.015717,369.768127,364.489014,368.855927,10951115359
215,10/18/2020,11355.98242,11483.35938,11347.57813,11483.35938,18283314340,368.727539,378.597656,368.12915,378.213684,11047103109
216,10/19/2020,11495.03809,11799.09277,11408.29004,11742.03711,23860769928,378.469635,383.317657,373.702271,379.935608,12811242092
217,10/20/2020,11745.97461,11999.91797,11681.48047,11916.33496,30915821592,379.719696,380.761017,367.601074,369.136902,13741586582
218,10/21/2020,11913.07715,13184.56641,11900.92871,12823.68945,43414712626,369.059418,400.627258,368.727966,392.189972,20241324322
219,10/22/2020,12801.63574,13161.59375,12717.09375,12965.8916,34729759598,391.488617,420.141663,391.276306,413.77298,15772846485
